YER032W	YDR195W
YDR422C	YDR477W
YBR097W	YLR240W
YDL014W	YLL011W
YGL116W	YGL086W
YGL116W	YJL030W
YOR212W	YHR005C
YJL061W	YLR178C
YLR178C	YFR002W
YGR119C	YLR178C
YLR178C	YGL172W
YJL140W	YDR404C
YDR002W	YLR293C
YNL189W	YOR098C
YNL189W	YLR335W
YDR123C	YOL108C
YPR141C	YMR198W
YDR477W	YGL115W
YFR034C	YDL106C
YBR109C	YDR356W
YLR223C	YBR119W
YBR119W	YLR449W
YBR119W	YNL227C
YML016C	YBR119W
YDR110W	YBR119W
YIL061C	YML016C
YDR110W	YIL061C
YIL061C	YAL047C
YCR101C	YIL061C
YFR039C	YIL061C
YIL061C	YGR203W
YIL061C	YLR017W
YIL061C	YLR213C
YMR009W	YIL061C
YIL061C	YMR044W
YIL061C	YOR275C
YLR153C	YIL061C
YIL061C	YNR016C
YNL199C	YIL061C
YIL061C	YHR079C
YBL063W	YIL061C
YFL016C	YIL061C
YIL061C	YLR439W
YHR023W	YIL061C
YIL061C	YOR346W
YIL061C	YOL004W
YPL016W	YIL061C
YIL061C	YBR117C
YER172C	YIL061C
YBR112C	YIL061C
YIL061C	YPL215W
YIL061C	YDL013W
YER172C	YMR240C
YPL016W	YMR240C
YMR240C	YOR319W
YLR090W	YMR240C
YBR112C	YMR240C
YGR056W	YOR319W
YOR319W	YHR209W
YJR022W	YOR319W
YBL026W	YJR022W
YCR077C	YJR022W
YDR228C	YJR022W
YEL015W	YJR022W
YGL096W	YJR022W
YJR022W	YHR034C
YHR035W	YJR022W
YIL173W	YJR022W
YJR022W	YNL050C
YJR022W	YOR076C
YBR003W	YJR022W
YGL173C	YJR022W
YJR022W	YNR050C
YJR022W	YDR277C
YGR158C	YJR022W
YNL118C	YJR022W
YER112W	YJR022W
YJR022W	YNR053C
YLR116W	YER013W
YPL016W	YLR116W
YLR116W	YJR066W
YJR005W	YLR116W
YDL156W	YLR116W
YDL161W	YLR116W
YIL130W	YLR116W
YMR065W	YLR116W
YML046W	YLR116W
YBR172C	YLR116W
YPL105C	YLR116W
YBR172C	YKL074C
YKL074C	YPL105C
YKL074C	YLR116W
YKL074C	YML046W
YPL016W	YKL074C
YLR357W	YKL074C
YDL043C	YPL215W
YDL043C	YJL146W
YDL043C	YMR302C
YDL043C	YGR162W
YDL043C	YGL049C
